"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can login with invalid credentials","6239","testLoginFailed","Suite Demo Parallel Testing By Methods","2026-02-23","passed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.LoginTest","Login Test","com.anhtester.EcommerceCMS.User.testcases.LoginTest","testLoginFailed"
"Update user profile","11786","testUpdateProfile","Suite Demo Parallel Testing By Methods","2026-02-23","failed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","Manage Profile Test","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","testUpdateProfile"
"Verify user can login with valid credentials","6467","testLoginSuccess","Suite Demo Parallel Testing By Methods","2026-02-23","passed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.LoginTest","Login Test","com.anhtester.EcommerceCMS.User.testcases.LoginTest","testLoginSuccess"
"Find Product :Laptop Dell XPS 15 and get details ","10232","getandWriteProductInfo","Default Suite","2026-02-23","passed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.GetProductInfoTest","Anhtester_CMS_AutomationTestingSeleniumJavaProject","com.anhtester.EcommerceCMS.User.testcases.GetProductInfoTest","getandWriteProductInfo"
"Update user profile","13227","testUpdateProfile","Suite Demo Parallel Testing By Methods","2026-02-23","failed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","Manage Profile Test","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","testUpdateProfile"
"Update user profile","11411","testUpdateProfile","Suite Demo Parallel Testing By Methods","2026-02-23","passed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","Manage Profile Test","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","testUpdateProfile"
"Update user profile","15055","testUpdateProfile","Suite Demo Parallel Testing By Methods","2026-02-23","failed","2026-02-23","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","Manage Profile Test","com.anhtester.EcommerceCMS.User.testcases.UpdateProfileTest","testUpdateProfile"
